Nombre_Producto,Precio_Original,Precio_Rebaja
iPad Air 2 Apple WiFi 9.7 Pulg 16 GB Dorado,"$ 9,799.00",NA
Tablet Samsung 9.7 Pulg 256 GB Negro,"$ 13,999.00",NA
Tablet Lenovo TAB M7 7 Pulg 16 GB Negra,"$ 3,499.00",NA
Tableta Toodler For Kids Ghia  7 Pulg 8 GB Rosa,"$ 1,199.00",NA
Tableta Toodler For Kids Ghia 7 Pulg 8 GB Rojo,"$ 1,199.00",NA
Tableta Toodler For Kids Ghia 7 Pulg 8 GB Azul,"$ 1,199.00",NA
Tablet Lenovo Tab M10 10.1 Pulg 16 GB Blanca,"$ 4,299.00",NA
iPad Mini 5 Wifi+Cellular Apple 7.9 Pulg 64 GB Gris Espacial,"$ 13,299.00",NA
Tablet Samsung 7 Pulg 8 GB Negro,"$ 5,999.00",NA
Tableta Toodler For Kids Ghia 7 Pulg 8 GB Verde,"$ 1,199.00",NA
Ipad Apple wifi+Celular 32 Gb Gris,"$ 11,299.00","$ 10,169.10"
iPad Apple WiFi 9.7 Pulg 32 GB Dorado,"$ 7,999.00",NA
Tablet Lenovo 7 Pulg 8 GB Negro,"$ 2,799.00",NA
iPad 7 Apple Wifi+Cellular 10.2 Pulg 32 GB Plata,"$ 11,299.00",NA
Laptop HP Pavilion x360 Convertible Core i3 8 GB RAM 256 GB SSD ROM 14 Pulg,"$ 16,999.00",NA
Ideapad Lenovo 80S70006LM De 14 plg I3-6100U,"$ 14,599.00",NA
Laptop 2 en 1 Ghia NOTGHIA-236 11.6 Pulg 4GB RAM 64GB ROM Intel,"$ 5,299.00",NA
Laptop 2 en 1 Ghia NOTGHIA-281 11.6 Pulg 2GB RAM 64GB ROM Intel,"$ 5,599.00",NA
Ideacentre Lenovo AIO A340-22IWL 21.5 Pulg 4 GB RAM 1 TB ROM Core i3 Negra,"$ 15,999.00",NA
Computadora HP Pavilion All in One 24-XA007LA 23.8 plg 6GB 2 TB Windows 10 Negro,"$ 17,599.00",NA
Mini PC Ghia PCGHIA-2122 Celeron 4GB RAM 64GB ROM Negro,"$ 5,999.00",NA
Computadora HP AIO 24-K0000LA Core i5 12 GB RAM 256 GB SSD ROM 23.8 Pulg,"$ 25,999.00",NA
Mac Mini Apple Core i3 8 GB RAM 128 GB SSD,"$ 18,399.00",NA
PC Ghia Frontier Slim Celeron N3160 4 GB RAM 1 TB ROM Negra,"$ 7,999.00",NA
Ideacentre Lenovo AIO 19.5 Pulg 4 GB RAM 1 TB ROM Pentium Silver Blanca,"$ 10,199.00",NA
Monitor LED BenQ GW2760HM,"$ 5,599.00",NA
Monitor LED BenQ DL2020,"$ 1,999.00",NA
Monitor LED HP 18.5 plg HD,"$ 1,899.00",NA
Monitor HP 24FW 23.8 Pulg Full HD IPS,"$ 4,499.00",NA
Monitor HP 27F 27 Pulg Full HD IPS,"$ 6,999.00",NA
Monitor HP 27FW 27 Pulg Full HD IPS,"$ 6,999.00",NA
Monitor HP 24F 23.8 Pulg Full HD IPS,"$ 4,499.00",NA
Monitor LED MNLG-19 Ghia 15.6 Pulg FHD,"$ 1,799.00",NA
Monitor IPS MNLG-20 Ghia 27 Pulg FHD,"$ 3,999.00",NA
Monitor IPS MNLG-16 Ghia 23.8 Pulg FHD,"$ 2,999.00",NA
Monitor IPS MNLG-15 Ghia 21.5 Pulg FHD,"$ 2,499.00",NA
Proyector DLP BenQ MW724,"$ 19,829.00",NA
Apple iPhone 11 128 GB Morado Telcel,"$ 19,049.00",NA
Apple iPhone 6s 4.7 Pulg 64 GB Gris Espacial Reacondicionado Desbloqueado,"$ 5,299.00",NA
Apple iPhone 6s 4.7 Pulg 32 GB Rosa Dorado Reacondicionado Desbloqueado,"$ 4,899.00",NA
Apple iPhone 6s 4.7 Pulg 32 GB Dorado Reacondicionado Desbloqueado,"$ 4,899.00",NA
Apple iPhone 6s 4.7 Pulg 64 GB Dorado Reacondicionado Desbloqueado,"$ 5,299.00",NA
Apple iPhone 6s 4.7 Pulg 64 GB Rosa Dorado Reacondicionado Desbloqueado,"$ 5,299.00",NA
Apple iPhone 11 Pro 64 GB Gris Espacial Telcel,"$ 25,749.00",NA
Apple iPhone 8 4.7 plg 256 GB Dorado Reacondicionado Desbloqueado,"$ 15,499.00","$ 9,999.00"
Apple iPhone 8 4.7 plg 256 GB Gris Espacial Reacondicionado Desbloqueado,"$ 15,499.00","$ 9,999.00"
Apple iPhone 8 4.7 plg 256 GB Plata Reacondicionado Desbloqueado,"$ 15,499.00","$ 9,999.00"
Apple iPhone 8 Plus 5.5 plg 256 GB Plata Reacondicionado Desbloqueado,"$ 16,999.00",NA
Apple iPhone 11 128 GB Blanco Telcel,"$ 19,049.00",NA
Apple iPhone 11 Pro Max 256 GB Verde Telcel,"$ 34,299.00",NA
Apple iPhone 11 Pro Max 256 GB Dorado Telcel,"$ 34,299.00",NA
Apple iPhone 11 Pro 64 GB Verde  Telcel,"$ 25,749.00",NA
Apple iPhone 11 Pro Max 256 GB Plata Telcel,"$ 34,299.00",NA
Apple iPhone 11 Pro 64 GB Dorado  Telcel,"$ 25,749.00",NA
Apple iPhone 11 Pro Max 256 GB Gris Espacial Telcel,"$ 34,299.00",NA
Apple iPhone 11 Pro Max 64 GB Plata Telcel,"$ 28,319.00",NA
Apple iPhone 11 Pro Max 64 GB Dorado Telcel,"$ 28,319.00",NA
